duration,protocol_type,src_bytes,dst_bytes,wrong_fragment,count,label
7.2,udp,62.5,43.73,0,5,benign
4.386,icmp,186.87,275.22,0,4,benign
2.538,udp,51.84,54.6,0,6,probe
3.147,tcp,109.13,144.97,0,10,benign
6.793,icmp,233.77,349.2,0,5,r2l
1.748,tcp,48.62,56.81,0,9,probe
0.742,tcp,337.41,354.79,1,3,benign
3.463,tcp,81.39,122.02,0,7,benign
0.383,udp,42.14,34.67,0,19,dos
0.744,tcp,33.45,44.28,0,23,dos
11.787,tcp,1027.21,1181.28,0,5,u2r
0.154,udp,23.64,28.02,0,17,dos
6.638,tcp,262.13,237.7,0,7,benign
4.063,udp,270.86,228.9,0,5,benign
0.354,tcp,8.51,12.34,0,16,dos
2.833,udp,151.05,122.27,0,8,probe
4.25,tcp,248.22,310.97,0,6,benign
4.496,udp,215.55,251.88,0,4,benign
6.16,tcp,1800.77,1232.91,0,4,u2r
8.457,tcp,119.97,169.25,0,5,benign
0.875,udp,46.08,58.64,0,12,dos
5.737,icmp,238.47,271.27,0,9,benign
5.731,icmp,185.97,258.89,0,7,benign
3.719,icmp,297.8,296.19,0,4,benign
3.811,udp,318.34,341.31,0,5,benign
6.331,tcp,328.69,357.03,0,7,benign
1.055,icmp,24.55,26.44,0,17,dos
4.922,tcp,156.06,211.55,0,4,benign
6.57,icmp,292.01,281.17,0,4,benign
0.331,udp,32.7,21.89,0,19,dos
6.065,tcp,265.37,344.99,0,5,benign
5.786,udp,369.43,249.44,0,7,benign
3.957,tcp,242.46,190.3,0,2,benign
5.47,tcp,459.99,620.81,0,1,r2l
2.592,udp,60.08,86.57,0,8,probe
0.365,icmp,38.59,34.9,1,18,dos
6.68,icmp,297.04,243.81,0,4,benign
4.013,udp,322.84,300.25,0,3,benign
2.426,udp,239.7,179.07,0,8,benign
2.572,icmp,98.48,90.49,0,5,probe
0.847,tcp,33.52,22.95,0,23,dos
4.509,udp,204.89,239.55,0,2,benign
7.091,udp,225.27,304.19,0,5,benign
10.769,udp,264.0,194.18,0,10,r2l
3.365,udp,161.84,118.01,0,2,probe
6.916,tcp,414.53,581.46,0,7,r2l
4.386,icmp,265.16,298.69,0,2,benign
7.405,tcp,250.39,300.45,0,3,benign
1.874,udp,301.47,216.0,0,5,benign
1.866,udp,278.67,370.57,0,5,benign
3.994,udp,631.84,592.9,0,5,r2l
4.407,udp,269.66,359.82,0,9,benign
8.367,tcp,178.11,164.6,0,6,benign
3.93,udp,250.11,219.94,0,4,benign
0.572,icmp,230.27,198.16,0,6,benign
6.826,tcp,648.54,669.36,0,6,r2l
0.374,tcp,21.69,21.66,0,18,dos
4.617,udp,169.71,203.49,0,6,benign
6.333,udp,299.86,259.36,1,5,benign
5.228,udp,389.95,282.32,0,2,benign
5.292,udp,149.61,215.93,0,6,benign
3.987,icmp,171.44,186.87,0,6,benign
2.082,icmp,82.97,120.27,0,7,probe
0.621,icmp,4.44,3.67,0,27,dos
3.174,udp,129.57,188.06,0,9,benign
3.281,icmp,44.03,60.13,0,4,probe
4.594,udp,291.91,214.49,0,8,benign
3.205,udp,173.46,137.37,0,4,benign
0.639,tcp,20.52,16.93,0,18,dos
5.088,udp,128.98,157.63,0,4,benign
2.871,udp,146.99,196.84,0,1,benign
3.844,icmp,268.22,186.05,0,8,benign
6.048,tcp,217.95,206.96,0,6,benign
6.505,tcp,261.19,231.16,0,6,benign
1.8,icmp,201.88,221.49,0,3,benign
0.571,icmp,15.66,11.09,0,18,dos
5.423,icmp,137.86,109.16,0,4,benign
6.125,udp,185.94,141.87,0,1,benign
2.036,icmp,88.39,82.33,0,3,benign
2.817,udp,144.41,105.26,0,6,probe
1.545,icmp,183.32,194.74,0,9,benign
0.1,icmp,0.49,0.51,0,2,worm
0.502,tcp,40.69,33.52,0,22,dos
2.248,tcp,165.26,183.08,0,2,benign
1.784,icmp,273.32,295.85,0,7,benign
6.109,tcp,262.2,376.76,0,5,benign
4.77,tcp,273.73,216.42,0,3,benign
3.415,icmp,321.15,268.79,0,7,benign
3.115,icmp,312.95,424.84,0,6,benign
0.077,udp,6.31,7.02,0,4,worm
1.45,tcp,417.68,291.73,0,3,benign
5.474,udp,367.25,418.95,0,2,benign
0.126,udp,3.2,2.99,1,6,worm
0.211,udp,256.06,373.41,0,2,benign
7.256,tcp,256.25,348.21,0,5,benign
8.788,udp,416.21,618.56,0,5,r2l
3.768,tcp,140.33,156.9,0,4,benign
2.909,udp,274.85,335.06,0,5,benign
10.715,udp,168.12,222.28,0,8,benign
5.04,udp,216.8,153.4,0,2,benign
7.068,udp,360.9,256.88,0,6,benign
2.586,tcp,115.85,133.03,0,9,probe
5.32,tcp,244.07,282.5,0,7,benign
3.365,tcp,293.22,331.09,0,4,benign
0.499,icmp,34.25,33.01,0,17,dos
5.914,tcp,205.83,224.21,0,6,benign
5.092,tcp,438.71,434.68,0,4,benign
8.846,icmp,246.92,199.58,0,4,benign
1.446,udp,189.17,160.42,0,4,benign
4.527,icmp,218.63,303.2,0,4,benign
5.339,tcp,270.58,308.4,0,4,benign
9.139,icmp,553.74,382.73,0,1,r2l
5.485,icmp,206.9,305.91,0,3,benign
4.841,tcp,159.98,222.4,0,4,benign
2.338,udp,307.07,263.36,0,3,benign
0.991,udp,21.66,14.65,1,21,dos
10.122,tcp,367.62,372.99,0,4,r2l
4.635,udp,203.54,226.8,0,4,benign
6.319,icmp,762.36,855.41,0,1,u2r
4.211,icmp,149.38,220.77,0,2,benign
6.21,tcp,201.62,162.61,0,6,benign
3.499,udp,287.68,303.98,0,9,benign
0.425,udp,41.88,28.87,0,18,dos
5.506,udp,243.54,177.43,0,4,benign
8.479,tcp,340.73,385.94,0,3,benign
1.592,udp,214.27,176.85,0,5,benign
6.02,icmp,227.93,235.04,0,5,benign
0.092,tcp,24.99,31.49,0,15,dos
7.98,icmp,161.29,137.21,0,11,benign
0.818,icmp,22.06,23.21,0,17,dos
7.466,tcp,168.37,251.91,0,2,benign
9.631,tcp,1204.14,819.72,0,3,u2r
6.845,tcp,1141.86,906.44,0,4,u2r
10.942,udp,1257.86,1081.14,0,6,u2r
5.057,udp,435.19,350.96,0,7,benign
4.071,tcp,253.02,251.22,0,3,benign
5.669,tcp,247.93,269.07,0,3,benign
5.931,tcp,315.41,381.15,0,3,benign
6.452,icmp,319.25,338.08,0,3,benign
6.56,tcp,185.35,274.3,0,4,benign
6.5,tcp,283.43,264.84,0,5,benign
8.42,icmp,279.65,245.58,0,3,benign
3.154,tcp,205.3,279.58,0,6,benign
3.608,icmp,357.18,293.1,0,5,benign
3.099,icmp,142.98,136.68,0,5,probe
3.333,tcp,92.14,98.13,0,4,probe
3.03,icmp,141.98,102.03,0,5,benign
0.944,udp,25.13,18.36,0,21,dos
2.645,tcp,203.63,162.15,0,3,probe
19.765,udp,972.28,1169.82,0,5,u2r
5.464,udp,202.35,223.82,0,3,benign
0.885,icmp,24.98,31.11,0,23,dos
6.832,tcp,282.66,223.52,0,9,benign
5.84,icmp,244.15,347.48,0,6,benign
7.137,icmp,264.64,183.59,0,6,benign
1.729,icmp,226.07,330.62,0,8,benign
0.01,tcp,205.2,288.79,1,5,benign
6.464,tcp,342.43,229.53,0,9,benign
7.496,icmp,245.79,282.12,0,6,benign
3.537,tcp,159.57,158.43,0,6,probe
4.493,tcp,257.78,202.26,0,5,benign
3.355,udp,244.95,212.58,0,7,benign
4.915,icmp,253.23,183.37,0,8,benign
0.647,udp,38.23,32.64,0,21,dos
0.341,udp,21.32,14.63,0,21,dos
3.846,icmp,117.12,109.45,0,9,probe
2.969,udp,183.08,148.18,0,6,benign
14.786,icmp,538.58,469.51,0,7,r2l
0.01,tcp,263.71,359.0,0,5,benign
5.447,udp,278.61,299.82,0,4,benign
4.244,udp,299.15,253.72,0,7,benign
5.556,icmp,247.46,263.19,0,4,benign
9.018,udp,203.15,295.69,0,9,benign
2.19,udp,263.07,272.13,0,4,benign
3.441,udp,113.89,95.32,0,4,probe
1.577,udp,148.33,203.54,0,7,benign
5.209,udp,268.55,379.81,0,4,benign
6.534,icmp,389.7,262.05,0,2,benign
4.33,icmp,231.13,298.75,0,4,benign
7.607,udp,407.56,312.75,0,8,benign
1.705,udp,269.52,403.85,0,4,benign
2.106,tcp,165.47,164.46,0,4,benign
5.013,udp,294.48,376.21,0,6,benign
10.453,udp,471.12,542.5,0,3,r2l
4.211,tcp,107.63,98.71,0,7,probe
0.893,icmp,19.49,19.91,0,22,dos
6.228,tcp,283.22,242.42,0,7,benign
7.092,icmp,133.29,93.89,0,6,benign
3.298,icmp,264.83,344.13,0,3,benign
7.342,tcp,298.99,225.84,0,6,benign
5.34,tcp,470.96,394.27,0,8,r2l
1.119,udp,0.55,0.45,0,22,dos
0.486,udp,12.21,16.9,0,30,dos
0.231,icmp,5.36,3.66,1,9,worm
3.648,tcp,182.57,128.51,0,11,benign
7.06,udp,122.86,117.15,0,8,benign
0.777,udp,18.32,22.74,1,27,dos
5.305,icmp,239.9,301.7,0,4,benign
1.204,icmp,30.74,28.51,0,17,dos
0.927,tcp,32.21,46.39,0,22,dos
5.905,icmp,280.76,272.03,0,5,benign
0.01,icmp,13.7,12.63,0,16,dos
5.582,tcp,122.57,138.48,0,4,benign
18.722,udp,1307.06,1802.54,0,1,u2r
4.496,tcp,463.08,322.0,0,6,benign
7.356,tcp,224.38,239.0,0,4,benign
6.498,udp,152.37,210.45,0,5,benign
4.718,udp,541.51,588.75,0,3,r2l
3.799,tcp,106.16,106.77,0,6,probe
0.651,udp,36.33,39.33,0,14,dos
0.18,udp,21.89,26.4,0,26,dos
3.256,udp,138.97,160.4,0,5,probe
0.369,udp,28.28,34.02,0,20,dos
2.647,icmp,153.05,193.4,0,4,benign
1.03,icmp,19.4,20.77,0,20,dos
3.985,udp,305.13,287.81,0,9,benign
2.095,icmp,47.3,68.24,0,7,probe
6.429,icmp,290.17,256.18,0,7,benign
4.129,icmp,219.4,274.59,0,4,benign
7.955,icmp,401.53,290.61,0,4,benign
9.622,tcp,422.9,371.41,0,5,r2l
0.137,tcp,5.55,6.31,0,5,worm
17.58,udp,1342.64,1069.76,0,7,u2r
0.089,udp,14.0,20.66,0,16,dos
8.025,udp,513.19,752.22,0,7,r2l
0.699,tcp,0.5,0.5,0,20,dos
0.651,tcp,18.47,21.91,1,28,dos
5.993,udp,255.58,209.18,0,4,benign
4.83,icmp,196.58,142.79,0,3,benign
0.332,udp,4.47,3.69,0,6,worm
4.287,icmp,62.61,92.69,0,3,probe
6.357,tcp,202.58,247.53,0,3,benign
1.286,tcp,358.81,256.84,0,9,benign
3.08,udp,168.63,222.49,0,9,probe
0.333,tcp,7.95,10.32,0,4,worm
2.151,icmp,30.07,40.08,0,5,probe
4.522,tcp,56.48,84.32,0,6,probe
3.51,icmp,294.04,297.81,0,4,benign
2.449,tcp,257.24,371.62,0,10,benign
0.126,udp,3.08,2.42,0,6,worm
8.543,udp,386.8,264.71,0,4,benign
1.187,icmp,49.66,52.51,0,3,probe
0.439,tcp,32.69,23.11,0,13,dos
3.182,tcp,104.89,122.04,0,6,probe
7.453,icmp,94.52,140.78,0,3,benign
8.686,udp,380.32,416.72,1,5,r2l
4.628,udp,344.81,238.28,0,4,benign
3.087,udp,100.74,138.95,0,3,probe
3.177,tcp,270.0,339.13,0,3,benign
0.343,udp,24.53,31.46,0,19,dos
8.33,udp,600.03,676.83,0,5,r2l
5.513,tcp,205.73,162.6,0,2,benign
2.512,icmp,225.57,298.29,0,5,benign
16.775,tcp,884.16,1289.36,0,4,u2r
2.408,udp,101.21,74.04,0,2,probe
1.534,icmp,226.52,218.02,0,4,benign
5.81,udp,299.81,399.67,0,5,benign
5.932,icmp,391.48,392.99,0,5,r2l
18.212,icmp,861.92,1251.39,0,10,u2r
4.271,icmp,146.88,208.41,0,4,benign
0.347,icmp,30.0,28.0,0,26,dos
5.781,tcp,230.09,241.71,0,1,benign
6.948,icmp,265.5,211.83,0,3,benign
6.46,icmp,336.61,303.93,0,4,benign
6.895,tcp,401.12,309.87,0,13,benign
9.082,tcp,558.82,637.76,0,3,r2l
4.487,tcp,320.34,266.1,0,5,benign
14.037,icmp,506.23,452.96,0,6,r2l
6.622,tcp,415.27,296.31,0,3,r2l
0.795,tcp,9.86,9.49,0,16,dos
5.942,tcp,230.43,259.99,0,5,benign
6.121,tcp,400.44,440.46,0,2,benign
13.518,udp,446.3,538.62,0,6,r2l
0.185,icmp,3.94,4.67,0,9,worm
